business_unit,team,env,one_month_avg,one_month_std,six_month_avg,six_month_std,ec2_percentage,fargate_percentage,lambda_percentage,utilization_rate,forecasted_growth,deployment_frequency,stability_factor,seasonality,one_month_cv,six_month_cv,commitment_percentage
r&d,credit,dev,79198.91093484894,2101.2839600127977,93740.48281389626,728.37505938195,12.59793239736116,52.88693075178764,27.447452619356305,97.70469574511503,0.0018519529544280822,high,0.6396590645316407,high,0.02653172796455961,0.007770122763587626,100.0
infrastructure,credit,dev,96025.02023444734,1832.120738239504,80529.23833571193,3734.0960266908046,15.646883717382416,28.20064095374594,8.21289171110291,88.75804642644685,3.6243141118777067,medium,0.9657051638965299,medium,0.01907961835119991,0.0463694442399173,100.0
r&d,ops,test,36234.90940599218,6353.0339903339545,43096.52096416522,1402.0674766734617,57.06437873500054,43.02159731343759,5.653958558085496,90.18175735768467,7.376030960344221,medium,0.841668140640107,high,0.1753290982227032,0.032533193986569856,100.0
r&d,research,dev,65243.99719371523,5697.386987019401,37829.86869827389,5016.53306989791,58.24269872992617,54.65561188697806,22.208269058316922,76.58003745089468,5.997190111102774,very high,0.6312301557003417,medium,0.08732430924033291,0.13260773147031318,99.21371388837505
infrastructure,debit,staging,98371.73720271068,4047.2695501866533,73817.30460426344,3864.1102771136616,33.90285846259097,51.77362182234104,20.10326572141338,59.33904035811853,1.7757200263161765,very high,0.822515667275975,medium,0.04114260523677251,0.05234694354974435,100.0
infrastructure,research,prod,33223.528877613964,4845.168400360728,47129.022000839956,5711.791244375652,25.092683567013133,27.787985771111423,28.395390602778647,71.27816828591759,3.0373308908854533,medium,0.9242862047910231,medium,0.14583545348866916,0.12119477557318831,100.0
r&d,research,prod,76020.15675556168,3183.8881422849295,63297.201260209324,7347.618859547026,66.95971895301156,11.181232712724338,10.850132179009247,77.47447867559102,3.3679261108210676,medium,0.7008151041663844,low,0.04188215702478138,0.11608125972808181,100.0
application,credit,prod,66864.81167775215,4377.5029416475245,18500.59768211762,3047.183812652672,25.197226062892327,9.159670010900221,7.109698697374676,83.92096258568561,5.678281111723161,medium,0.9149787545780912,high,0.06546796187424313,0.16470731729916113,100.0
r&d,research,prod,66918.32737509656,4546.708542879221,22950.85613443802,8677.867885402735,47.94189487664658,36.73852248741365,11.48038334429966,80.38545559159635,8.315982964410765,medium,0.5772074721699962,high,0.0679441450679663,0.3781065000177268,93.45296856194088
r&d,main,test,75813.65020160601,3710.6608982466714,60829.43529453209,5052.893254994383,77.77461886040338,40.34453643660124,5.473191012786586,69.69889144586217,9.324917797776799,high,0.911390682433084,high,0.04894449598956345,0.08306658167264924,100.0
r&d,credit,prod,94369.35383005474,7346.005474705139,63285.73171585321,5755.4717894156975,20.349670650366864,51.74134325283632,5.89731877972331,63.26565534979207,7.50092412853639,very high,0.7701471213361832,low,0.07784312572420714,0.09094422444631291,100.0
r&d,main,prod,82606.55518810704,1112.433054867043,78116.23555674749,6285.715172418765,75.86133872462962,21.088326118756708,27.87144514801899,58.411542160184155,8.429503901768099,medium,0.611487244004991,medium,0.013466643807308904,0.08046618129534047,89.41516722956467
infrastructure,debit,prod,24490.8882732968,6475.198841638723,28557.22556991694,6167.218003789513,22.802513714806807,14.210876980252337,13.800414562546957,84.69226931361331,4.700959584515161,medium,0.7035706922779557,high,0.2643921596220272,0.2159599849323686,100.0
r&d,credit,prod,88218.2415900569,1870.6798186892702,59054.646700542304,4843.251315883028,49.721024561626066,25.84532082480097,15.270225025242016,82.26993371562425,3.897753196222874,high,0.9939964962233083,low,0.021205136091718643,0.08201304362114746,100.0
application,debit,staging,38043.306394058614,6582.831523760396,33555.81155453509,4144.49647447481,36.39053983711212,24.44663179977513,5.459291363452611,84.36862328789033,3.9270853214421697,low,0.891778008321213,low,0.17303521033567326,0.12351054206330704,100.0
infrastructure,credit,prod,50153.13317890976,5311.383409737048,25455.689565015575,957.1466955077121,77.54500210512781,12.285792470982011,11.763044504296165,68.62637264013975,6.160385283399571,medium,0.7875431806925577,high,0.10590332194780155,0.037600501572078567,100.0
application,ops,staging,56938.62508899057,6902.946636554817,50839.66352484436,687.7296850600278,29.147942030135585,41.975545888223365,25.118149593535776,63.12039112853725,1.2423670555580901,high,0.5575819559522628,medium,0.12123486694253781,0.013527424010663399,85.97076824996289
application,research,test,58472.48006024557,1682.6002794862823,31066.93184712458,3542.6701535284997,37.97606014600275,32.978056740115676,20.387273991667982,87.98606643404626,5.794941827902612,high,0.7089057914507502,low,0.028775934897111593,0.11403347362917636,100.0
application,ops,dev,54814.43194042854,4912.864438698418,35742.55825538549,3336.1175703863873,78.80020824987943,44.66175158631214,23.844515027160384,88.6823697527667,6.651328601837255,low,0.6315257570059687,high,0.08962720701069458,0.09333740317493137,100.0
application,debit,prod,94988.26353726916,4507.61516183538,43404.366389560135,3795.408816131557,47.55292738319312,24.39801160933541,16.180343519844627,72.78081869834203,4.389087402062389,very high,0.5355005397526951,medium,0.04745444325410573,0.08744301856793031,88.59148870622016
infrastructure,research,dev,76481.52061312197,5943.35228074351,38751.0720594557,1676.1297075496152,45.184108093487744,22.913621636773627,12.74323054378325,80.59520423836621,9.531671767711673,very high,0.7711021943596574,low,0.0777096510777769,0.04325376353402385,100.0
infrastructure,credit,dev,70493.65167653651,4740.0338632557305,25007.30379247571,6774.430299563171,28.04449417427939,30.99167191741206,17.070252333209258,68.67598321158707,6.082132723795752,very high,0.9445928499204381,low,0.06724057770486344,0.27089806865150673,100.0
application,research,test,23987.362222635325,4785.141969931729,25193.299588776183,7784.1975255980315,59.0954492217309,53.25740399673308,13.076776710143779,85.09736000599034,2.199994722366252,medium,0.8377999340870625,high,0.19948595954482648,0.3089788813953514,100.0
application,main,dev,92313.06642082997,4007.1716050324526,33459.953218733455,8479.074400679297,11.006106624444435,7.215471870368919,25.9742774168517,91.78607983239357,4.792162574335163,very high,0.6248401939902556,high,0.0434084984975459,0.2534096310670291,100.0
infrastructure,research,staging,92751.2153606717,3161.840968051386,22044.735036763115,4685.07957991682,13.465884079160547,49.26580495130596,12.441842889821142,84.41166386678248,6.75404437135294,medium,0.7867923034768946,medium,0.03408948287907899,0.21252601004746494,100.0
infrastructure,main,dev,82417.04507440818,4375.850528765345,68116.56157415417,6457.358442566143,51.95510109950619,25.294318696176607,21.494091011327093,75.62913134235683,3.23629124580479,medium,0.9716171416734845,high,0.053093999242689635,0.09479865532461482,100.0
infrastructure,research,dev,20562.33630508953,1829.4465113788042,40986.13732071216,7772.184549204916,33.91722016729179,52.00404641836627,8.424555557738195,72.93289797461851,0.7964160628902317,high,0.8614575264614677,high,0.08897075138908145,0.18962959325462656,100.0
r&d,main,dev,24582.42008620987,7730.5933728815935,40379.67742152568,4055.4744442946303,76.73214605406724,49.12116548597211,22.17166234337275,82.11598254878722,5.83435634710885,very high,0.844736949703382,medium,0.3144764976666502,0.1004335523030387,100.0
r&d,debit,prod,38017.896181479184,6000.875345386188,44559.863539021215,3130.008756398777,73.22334835059499,24.18186860678486,27.832492790000845,83.99054458006651,9.4787016861968,very high,0.9840790831137581,high,0.15784343554259,0.07024278145865098,100.0
r&d,ops,prod,30507.952651592535,7667.269816814927,71023.70193677774,8462.158724754667,59.95943810736951,43.16320944268888,20.21457886599771,77.93647217622694,4.850719855631738,very high,0.8994366555920124,medium,0.2513203656888031,0.11914555977787976,100.0
application,credit,staging,51906.88237629835,2587.091676309743,87650.71051867925,4883.250684155121,67.2701906789461,13.779801622539207,18.99638450086193,81.24711375536975,9.061090806470379,medium,0.5683117715493761,medium,0.04984101448348701,0.055712619501406685,96.39919769277355
r&d,research,staging,93809.84464702317,7155.387141235697,78726.95460445108,4726.6580360224625,56.71322947673853,54.29548536900834,29.027956700541004,54.82943412472661,8.35023588371694,medium,0.6738175434881006,medium,0.07627543962106706,0.0600386241252526,93.43333077371018
application,ops,prod,57764.83473575986,6661.52989194477,76202.3384180076,2016.536820789714,18.790747189711247,27.247008544855017,20.68491388289616,97.58827580711633,1.4741278363398336,very high,0.982570350368843,high,0.11532154333025188,0.02646292571401169,100.0
application,credit,staging,21072.21011457325,5740.066887203716,56751.29484806794,1419.3176238735323,63.588035878244185,30.05940884453601,11.488760831827065,89.53865318660169,7.081699218355708,medium,0.7448526970989989,medium,0.2723998506086443,0.025009431549945543,100.0
r&d,credit,prod,42619.65516630096,5375.20430259644,73504.44455739294,7657.908331109849,24.71343781031925,43.81674780703417,12.30977559619351,68.69639348533919,4.354655250719785,medium,0.5558187226605926,high,0.12612031424521178,0.10418292903540663,87.62703657592267
application,main,test,23567.592669836922,3215.84765687509,62220.98944268665,5720.131997593903,32.640999857013774,50.1462130187668,22.63266606339818,78.1406305476815,2.5024632526293686,low,0.7293024398361709,medium,0.13645210615808484,0.09193251423400882,100.0
r&d,debit,dev,22903.009809080173,6714.875494755215,35300.042254922315,3269.508964165314,67.34639484716942,17.998850883051528,23.385914847304658,52.366226506821064,6.86938355666703,low,0.8484966170354004,high,0.2931874697138287,0.09262053967398315,100.0
r&d,debit,dev,42057.58824764418,4510.608230358137,34687.06941928406,2129.757847817265,47.55679258754137,41.374257693234746,12.587405794725381,52.06139069995302,7.426607186564214,very high,0.9987741108406205,medium,0.10724838057281602,0.06139918659814021,100.0
infrastructure,ops,staging,42048.987094315635,1496.2410312389975,41711.36055002268,5221.726881441867,70.19584999283865,26.559892413903167,13.633599448158256,62.539916755598135,1.798963187348388,very high,0.6619526582816009,low,0.03558328356121724,0.12518716274382058,95.85751974290878
r&d,debit,prod,82970.12820812833,3190.04212598591,90864.21367758507,5463.31395871965,24.912472389028494,25.278660820217873,29.776412718477175,84.48508211823116,9.144446820562084,low,0.7570434374396369,low,0.03844807998830344,0.06012613478508947,100.0
infrastructure,research,prod,97986.77222248896,7547.079689817293,61793.18723037807,2259.4456105829945,52.5444907024821,42.951420316736005,7.548813739506937,92.60738739000058,7.511472439514409,medium,0.9398403523248969,low,0.07702141338711392,0.03656463943442994,100.0
r&d,debit,staging,49696.567511199864,6954.761824233924,76712.43016014955,7736.948857077528,15.865368078378314,26.29508007857639,15.116125711002482,77.95929399899242,9.333754991419687,medium,0.6776336090286668,medium,0.13994451070824085,0.10085652143890372,100.0
r&d,ops,prod,54310.95030888309,7873.339886535774,45724.7007853238,1216.2471123247342,55.01426954780207,24.035967509042422,6.561188279937687,76.60663697911762,3.1707321876369097,high,0.5546307782954286,high,0.1449678166512953,0.026599345461766507,92.05072469797105
infrastructure,debit,test,87583.15490288171,5395.953678228687,50617.26165321802,3526.7912239145844,63.37738264428743,50.973862446943336,25.526959049956027,70.1154766895733,9.393350157429868,very high,0.974467937500752,medium,0.06160949196466028,0.06967566218964685,100.0
infrastructure,research,dev,41451.12160764107,2732.5705119828835,28045.24629098011,6283.267516981438,50.94516257851052,10.570186810705351,7.308645973635806,58.079897797901054,3.6851765783838086,very high,0.7442204033567501,medium,0.06592271586395779,0.22404037574818012,100.0
r&d,main,staging,32510.544352275836,2139.7053477380464,31703.59662573363,2830.023092463206,28.63620510491672,42.174094255661586,21.85018391156778,55.917705066329376,0.5396976142739174,very high,0.7513918553859859,medium,0.06581573426002203,0.08926504856442982,100.0
application,ops,staging,88247.16987229204,2308.4010842592315,84188.52438609164,7535.23915564081,12.19398682012067,18.679896658484353,6.412085600087051,88.0339880610483,7.629693887090233,high,0.8106000723020911,medium,0.02615835825216675,0.0895043500356881,100.0
infrastructure,main,prod,23720.04691520524,1138.5696084307806,64787.09053511056,6788.87652610343,18.361421877500003,5.852403300440467,21.821375945242277,96.37517756482879,7.035081440883408,high,0.5017683118516123,high,0.04800031013854886,0.10478748883505244,96.8365419778396
application,main,staging,69575.95521595326,3734.774776901574,45002.59727070551,7206.694178659141,53.561208535181834,14.172034787998061,26.07592367319258,72.91416081931365,5.979109922633325,medium,0.9655655877844246,medium,0.053679101714225796,0.16013951673296745,100.0
application,main,test,64959.42779734454,2339.9937634967973,82228.09671964368,1512.4055549520883,75.40941517897596,38.366384137672725,14.970538173101435,82.97228293578192,4.89893744384174,low,0.6807255423872709,low,0.03602238878699688,0.018392807510900173,100.0
application,credit,prod,47673.63580013554,3881.588223196917,37721.59245103864,1694.6505879621147,24.457408278040447,44.00199553172656,18.053162335804423,95.72288254404705,0.3216527032263139,low,0.6984659311921744,low,0.08142001670419863,0.044925213328724505,100.0
infrastructure,credit,prod,45215.16168778871,7544.961022871358,96082.6158880163,2935.0267708289607,61.45183043735692,6.158178095597602,15.038543450132062,54.50568164670723,6.245972515201544,low,0.5870546237666174,low,0.1668679429915437,0.03054690740570299,83.98415469604289
application,main,prod,81748.6180945297,4013.7814665503297,45585.40861969358,4903.655904179269,70.6515744274329,7.003399381594608,12.512218965815972,88.5240726559515,4.168346152227937,medium,0.6890758066462306,medium,0.04909907421198251,0.10757073486143581,100.0
infrastructure,ops,prod,26913.96886100372,7145.891478893844,44984.87633209821,6858.13665194492,46.461752491325775,54.63981631636242,25.081585015678204,80.84084421877876,5.60209402740945,low,0.901971765388026,high,0.26550864778801514,0.15245427377225912,100.0
application,research,test,38942.74474491083,5238.533366311135,42952.95244293642,7610.51257146768,56.848605709056045,9.03181999625459,11.800064343274741,79.93185894149306,4.293213419676363,high,0.8999958362777674,high,0.13451885327101204,0.17718252503313595,100.0
r&d,research,prod,78595.89854704718,2729.9208826297436,27768.921273943037,6486.8501856360335,67.05107216733037,54.18001872391142,23.073585609736178,64.62702142407849,9.66056132765199,high,0.9678984204477263,high,0.034733630292369824,0.2336010866840178,100.0
r&d,debit,staging,63865.64669811394,3490.98331481448,26890.971786560993,8393.073493010426,28.24726104184155,17.549125256299817,10.154926981380056,84.19466773888385,6.041089011508472,very high,0.701614736340398,medium,0.05466136327274636,0.31211491944686587,100.0
infrastructure,ops,test,30239.05668268691,1587.436750750006,69848.40276272988,6779.319831735407,30.782697198763007,45.70097900870171,11.246344901958238,89.73988774103883,7.4923633060246715,low,0.8543607518742922,high,0.05249623913231652,0.09705762141425453,100.0
r&d,credit,dev,90570.84914256481,3334.2381551720737,88009.44356464376,3103.277039539225,10.043926163991932,22.035328692030664,13.411529064430306,55.642908247184856,9.363469474710833,high,0.7536187776037786,low,0.036813590539752486,0.035260727870184055,100.0
r&d,main,dev,51475.82772508732,5742.7866185247385,81241.64082173388,2753.190916877867,77.41658916284618,52.23136140850511,19.728909434844706,76.6760715490492,5.9159932291673964,very high,0.9020113947595655,high,0.11156278339407696,0.03388891323501346,100.0
application,debit,staging,86229.47002577383,1504.7776505060463,29288.607521708087,6417.635827559264,74.22814262174414,43.52501759833968,16.360557978988528,55.06325904937049,0.12062517822400753,low,0.8562710045664985,medium,0.017450851200364225,0.21911713702341942,100.0
infrastructure,research,staging,83017.04124221668,2437.8098593462055,61646.56974336532,2139.399833861721,63.51977846316012,27.09974022309323,23.628620245695508,93.62870096488223,0.3429167831054236,low,0.6839514626431378,medium,0.029365173979562467,0.03470428026681846,100.0
application,credit,test,69954.03571773824,3670.0872898931802,26447.3236781312,1288.075891887294,15.535321468365368,9.196634979574375,10.339182508404807,75.38183613281737,7.023384341018618,high,0.6683369171268463,high,0.05246426817606116,0.04870344945157456,100.0
application,credit,dev,59558.490503607434,7874.346759111738,21623.571489046197,5023.894436277648,41.32520227896557,45.298510112894384,5.266807196220853,90.39828446303787,2.7908513615128347,very high,0.6262212315139838,medium,0.13221199349628904,0.23233416546487665,100.0
application,main,dev,98364.06723054055,6494.032760712162,70510.86875078137,7483.95334312112,17.132422778008696,38.928661578084984,24.4139367946305,68.40428188331072,5.793797273479488,very high,0.7882578952443189,high,0.06602037658214954,0.106139003471549,100.0
application,research,dev,31597.205790385364,6134.407225444727,60812.18669442803,1361.72866099384,11.114418708395903,5.1601444808583805,25.54123334700181,56.25391134081627,2.0227718109066894,high,0.9819214257969298,high,0.19414397798780522,0.02239236467250091,100.0
application,ops,dev,78012.45820408918,1813.336695678122,24561.89481691767,7231.076252263699,53.13280756488181,5.518092078484493,6.487004077709739,52.07496521928557,2.7024887506171416,high,0.600033368808783,low,0.023244193779078638,0.2944022155523237,82.86435539720706
application,credit,dev,35295.25611718312,6466.97125530494,20795.139712479075,7398.362036988158,77.25805919561319,49.483613525598166,20.27268805395991,64.07548103861878,5.046410559480753,high,0.5476262274521626,medium,0.18322494201016903,0.3557736153389935,81.41037769103403
application,main,prod,47061.04842658787,6496.881680612106,97180.51307274678,4599.32900069312,73.2007616402505,19.266985634101964,14.455169596826948,62.21168501820392,9.755694633560822,low,0.5597003210381568,low,0.1380522087336582,0.04732768798257098,85.22207564575535
infrastructure,ops,staging,44695.89946985562,5207.718869370298,20401.70657192575,987.1376350891378,58.772837045478305,39.98735172504361,24.84739137986292,78.0175987009981,6.162704892091916,high,0.891549338125075,medium,0.1165144662293362,0.0483850520841973,100.0
r&d,research,prod,95762.87901909783,7932.532473988603,53562.260244012774,1984.0137356010844,16.764840891541,29.98179308708861,26.860363854911963,51.08694190318537,9.361481045130231,high,0.6750524021422819,high,0.08283515027160608,0.037041262384420355,91.84994703926061
application,credit,dev,97388.49422306202,3276.7773414718636,58369.52196861565,6513.123338876425,29.19148263706101,52.4886507986972,26.275094169931226,76.02852721495867,9.593798543869475,medium,0.6121834138461899,medium,0.033646452464565456,0.11158431865140897,97.78029728093858
application,ops,test,34641.23553877817,7588.907137692961,27382.411824035604,6550.112532423071,32.403970881970366,55.43286122063687,24.430106183771304,69.58858710060017,2.081099964205074,high,0.67642205918675,high,0.21907149152338315,0.23920875102293013,97.85369704351196
application,ops,test,21762.812823800334,7403.117804695526,31524.9422751773,8136.019838925155,63.420504042189286,59.824424197336974,11.726305718554073,78.85611349572211,3.1119360246894443,high,0.8226654064147609,medium,0.3401728381636081,0.25808199006065896,100.0
application,ops,dev,77600.64317304906,1080.3646182456448,46144.4005128282,5452.832245713954,66.15744254645799,13.452627469398575,25.29724108920792,85.12087640751824,7.699922812187041,low,0.7733935624141419,low,0.013922109071137941,0.11816888257542883,100.0
