business_unit,team,env,one_month_avg,six_month_avg,ec2_percentage,fargate_percentage,lambda_percentage,utilization_rate,deployment_frequency,seasonality,one_month_cv,six_month_cv,actual_compute_spend
r&d,credit,dev,79198.91093484894,93740.48281389626,12.59793239736116,52.88693075178764,27.447452619356305,97.70469574511505,high,high,0.0265317279645596,0.0077701227635876,148002.38865103974
infrastructure,credit,dev,96025.02023444734,80529.23833571193,15.646883717382416,28.20064095374594,8.21289171110291,88.75804642644685,medium,medium,0.0190796183511999,0.0463694442399173,132627.62724980558
r&d,ops,test,36234.90940599218,43096.52096416522,57.06437873500054,43.02159731343759,5.653958558085496,90.18175735768467,medium,high,0.1753290982227032,0.0325331939865698,98034.92037027984
r&d,research,dev,65243.99719371523,37829.86869827389,58.24269872992617,54.65561188697806,22.20826905831692,76.58003745089468,very high,medium,0.0873243092403329,0.1326077314703131,84746.11065833701
infrastructure,debit,staging,98371.73720271068,73817.30460426344,33.90285846259097,51.77362182234104,20.10326572141338,59.33904035811853,very high,medium,0.0411426052367725,0.0523469435497443,109308.37870530011
infrastructure,research,prod,33223.528877613964,47129.022000839956,25.092683567013133,27.787985771111423,28.395390602778647,71.27816828591759,medium,medium,0.1458354534886691,0.1211947755731883,88313.31572514416
r&d,research,prod,76020.15675556168,63297.20126020933,66.95971895301156,11.181232712724338,10.850132179009249,77.47447867559102,medium,low,0.0418821570247813,0.1160812597280818,109165.5965635036
application,credit,prod,66864.81167775215,18500.59768211762,25.197226062892327,9.15967001090022,7.109698697374676,83.92096258568561,medium,high,0.0654679618742431,0.1647073172991611,67234.43246163329
r&d,research,prod,66918.32737509656,22950.85613443802,47.94189487664658,36.73852248741365,11.48038334429966,80.38545559159635,medium,high,0.0679441450679663,0.3781065000177268,73452.69475702888
r&d,main,test,75813.65020160601,60829.43529453209,77.77461886040338,40.34453643660124,5.473191012786586,69.69889144586217,high,high,0.0489444959895634,0.0830665816726492,108222.48921510043
r&d,credit,prod,94369.35383005474,63285.73171585321,20.349670650366864,51.74134325283632,5.89731877972331,63.26565534979207,very high,low,0.0778431257242071,0.0909442244463129,106043.47586240595
r&d,main,prod,82606.55518810704,78116.23555674749,75.86133872462962,21.088326118756708,27.87144514801899,58.411542160184155,medium,medium,0.0134666438073089,0.0804661812953404,120434.34782843506
infrastructure,debit,prod,24490.8882732968,28557.22556991694,22.802513714806807,14.210876980252335,13.800414562546957,84.69226931361331,medium,high,0.2643921596220272,0.2159599849323686,77625.03970517869
r&d,credit,prod,88218.2415900569,59054.646700542304,49.721024561626066,25.84532082480097,15.270225025242016,82.26993371562425,high,low,0.0212051360917186,0.0820130436211474,107052.10609715781
application,debit,staging,38043.306394058614,33555.81155453509,36.39053983711212,24.44663179977513,5.459291363452611,84.36862328789033,low,low,0.1730352103356732,0.123510542063307,81561.44308100676
infrastructure,credit,prod,50153.13317890976,25455.689565015575,77.54500210512781,12.285792470982011,11.763044504296165,68.62637264013975,medium,high,0.1059033219478015,0.0376005015720785,67626.95928535068
application,ops,staging,56938.62508899057,50839.66352484436,29.147942030135585,41.975545888223365,25.118149593535776,63.12039112853725,high,medium,0.1212348669425378,0.0135274240106633,87069.04540900877
application,research,test,58472.48006024557,31066.93184712458,37.97606014600275,32.978056740115676,20.387273991667985,87.98606643404626,high,low,0.0287759348971115,0.1140334736291763,82990.44190150505
application,ops,dev,54814.43194042854,35742.55825538549,78.80020824987943,44.66175158631214,23.844515027160384,88.6823697527667,low,high,0.0896272070106945,0.0933374031749313,89259.14813236344
application,debit,prod,94988.26353726916,43404.366389560135,47.55292738319312,24.39801160933541,16.180343519844627,72.78081869834203,very high,medium,0.0474544432541057,0.0874430185679303,87283.08038076616
infrastructure,research,dev,76481.52061312197,38751.0720594557,45.184108093487744,22.913621636773627,12.74323054378325,80.59520423836621,very high,low,0.0777096510777769,0.0432537635340238,90975.69516060394
infrastructure,credit,dev,70493.65167653651,25007.30379247571,28.04449417427939,30.99167191741206,17.070252333209258,68.67598321158707,very high,low,0.0672405777048634,0.2708980686515067,66788.60761184791
application,research,test,23987.362222635325,25193.299588776183,59.0954492217309,53.25740399673308,13.07677671014378,85.09736000599034,medium,high,0.1994859595448264,0.3089788813953514,71526.0394254023
application,main,dev,92313.06642082996,33459.953218733455,11.006106624444437,7.215471870368919,25.9742774168517,91.78607983239355,very high,high,0.0434084984975459,0.2534096310670291,86568.47298222156
infrastructure,research,staging,92751.2153606717,22044.735036763115,13.465884079160547,49.26580495130596,12.441842889821142,84.41166386678248,medium,medium,0.0340894828790789,0.2125260100474649,72533.26348639165
infrastructure,main,dev,82417.04507440818,68116.56157415417,51.95510109950619,25.294318696176607,21.494091011327093,75.62913134235683,medium,high,0.0530939992426896,0.0947986553246148,112630.01228649812
infrastructure,research,dev,20562.33630508953,40986.13732071216,33.91722016729179,52.00404641836627,8.424555557738195,72.93289797461851,high,high,0.0889707513890814,0.1896295932546265,80575.3941840243
r&d,main,dev,24582.42008620987,40379.67742152568,76.73214605406724,49.12116548597211,22.17166234337275,82.11598254878722,very high,medium,0.3144764976666502,0.1004335523030387,89601.53501469767
r&d,debit,prod,38017.896181479184,44559.863539021215,73.22334835059499,24.18186860678486,27.832492790000845,83.99054458006651,very high,high,0.15784343554259,0.0702427814586509,98293.67252597483
r&d,ops,prod,30507.952651592535,71023.70193677774,59.95943810736951,43.16320944268888,20.21457886599771,77.93647217622694,very high,medium,0.2513203656888031,0.1191455597778797,118594.96966617781
application,credit,staging,51906.88237629835,87650.71051867925,67.2701906789461,13.779801622539209,18.99638450086193,81.24711375536975,medium,medium,0.049841014483487,0.0557126195014066,142581.27018566974
r&d,research,staging,93809.84464702316,78726.95460445108,56.71322947673853,54.29548536900834,29.027956700541004,54.82943412472661,medium,medium,0.076275439621067,0.0600386241252526,119080.6201937777
application,ops,prod,57764.83473575986,76202.3384180076,18.790747189711247,27.247008544855017,20.68491388289616,97.58827580711632,very high,high,0.1153215433302518,0.0264629257140116,130315.58037806829
